"level","band","n_trials","item_sd","skew","item_min","item_max","squares_at_edge","shown_minus_recorded"
"2 squares","14-17",154,4,0,11.512987012987,19.512987012987,0,0
"2 squares","18-21",188,4,0,15.563829787234,23.563829787234,0,0
"2 squares","22-28",300,4,0,21.0333333333333,29.0333333333333,0,0
"2 squares","29-31",135,4,0,26.0444444444444,34.0444444444444,0,0
"2 squares","32+",231,4,0,30.04329004329,38.04329004329,0,0
"6 squares","14-17",155,4.32049379893857,0,9.58709677419355,21.5870967741935,0,0
"6 squares","18-21",195,4.32049379893857,0,13.4461538461538,25.4461538461538,0,0
"6 squares","22-28",290,4.32049379893857,0,18.8862068965517,30.8862068965517,0,0
"6 squares","29-31",132,4.32049379893857,0,24.0530303030303,36.0530303030303,0,0
"6 squares","32+",253,4.32049379893857,0,28.0553359683794,40.0553359683794,0,0
"8 squares","14-17",157,5.47722557505166,0,7.50955414012739,23.5095541401274,0,0
"8 squares","18-21",177,5.47722557505166,0,11.5706214689266,27.5706214689266,0,0
"8 squares","22-28",314,5.47722557505166,0,16.8248407643312,32.8248407643312,0,0
"8 squares","29-31",120,5.47722557505166,0,21.9166666666667,37.9166666666667,0,0
"8 squares","32+",231,5.47722557505166,0,26.1341991341991,42.1341991341991,0,0
"12 squares","14-17",171,5.45180907793204,-0.206282093856245,6.50292397660819,24.5029239766082,0,0.3333333333333
"12 squares","18-21",160,5.45180907793204,-0.206282093856245,10.43125,28.43125,0,0.3333333333333
"12 squares","22-28",313,5.45180907793204,-0.206282093856245,16.0670926517572,34.0670926517572,0,0.3333333333333
"12 squares","29-31",133,5.45180907793204,-0.206282093856245,21.1578947368421,39.1578947368421,0,0.3333333333333
"12 squares","32+",225,5.45180907793204,-0.206282093856247,24.9822222222222,42.9822222222222,0,0.3333333333333
