"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",0.13521720263599,0.0255879301054345,161,5.28441347458864,1.20863370101087e-06,NA,NA
"noise_overall","X2 - X20",0.0979139922278272,0.0245142461273583,161,3.9941669721001,0.000289129169020907,NA,NA
"noise_overall","X10 - X20",-0.0373032104081632,0.0208953091077489,161,-1.78524329148735,0.177777814573924,NA,NA
"noise_within_condition","X2 - X10",0.175125991836706,0.0351735912036939,161,4.97890564607218,4.86479852257471e-06,"average",NA
"noise_within_condition","X2 - X20",0.114647675652921,0.0336976874798992,161,3.40224164406858,0.0024183016601268,"average",NA
"noise_within_condition","X10 - X20",-0.0604783161837847,0.0287230369006943,161,-2.10556830717029,0.091879524495572,"average",NA
"noise_within_condition","X2 - X10",0.0953084134352748,0.0371723976918066,161,2.56395657405447,0.0301282458236578,"experience",NA
"noise_within_condition","X2 - X20",0.0811803088027331,0.0356126229205017,161,2.27953748264913,0.0615870960355728,"experience",NA
"noise_within_condition","X10 - X20",-0.0141281046325418,0.0303552783224739,161,-0.465424974281387,0.887554325416828,"experience",NA
"condition_within_noise","average - experience",0.00759338050837797,0.0503991266019675,161,0.150664922595733,0.880428644315572,NA,"X2"
"condition_within_noise","average - experience",-0.072224197893053,0.0482116188693109,161,-1.49806622525649,0.136074114870399,NA,"X10"
"condition_within_noise","average - experience",-0.02587398634181,0.042335557948079,161,-0.611164411097222,0.541952669595846,NA,"X20"
