"meanVal","array_length","condition","mean_response","n_trials"
14,"2","average",13.0840336134454,119
14,"2","experience",13.1481481481481,81
14,"10","average",15.9393939393939,132
14,"10","experience",16.3725490196078,102
14,"20","average",13.9652173913043,115
14,"20","experience",13.5752212389381,113
15,"2","average",13.950495049505,101
15,"2","experience",14.0747663551402,107
15,"10","average",16.4545454545455,99
15,"10","experience",16.3644859813084,107
15,"20","average",14.0810810810811,111
15,"20","experience",15,73
16,"2","average",14,100
16,"2","experience",14.5913978494624,93
16,"10","average",17.688,125
16,"10","experience",17.7553191489362,94
16,"20","average",14.6899224806202,129
16,"20","experience",15.3551401869159,107
17,"2","average",15.3047619047619,105
17,"2","experience",15.0204081632653,98
17,"10","average",17.5,98
17,"10","experience",18.3723404255319,94
17,"20","average",15.3274336283186,113
17,"20","experience",16.5636363636364,110
18,"2","average",15.5185185185185,108
18,"2","experience",16.25,100
18,"10","average",18.9075630252101,119
18,"10","experience",17.8446601941748,103
18,"20","average",16.6635514018692,107
18,"20","experience",16.1782178217822,101
19,"2","average",16.3931623931624,117
19,"2","experience",16.1489361702128,94
19,"10","average",18.5241935483871,124
19,"10","experience",21.0430107526882,93
19,"20","average",17.7833333333333,120
19,"20","experience",17.3,100
20,"2","average",16.9242424242424,132
20,"2","experience",18.0701754385965,114
20,"10","average",19.650406504065,123
20,"10","experience",20.8725490196078,102
20,"20","average",17.9363636363636,110
20,"20","experience",18.5188679245283,106
21,"2","average",18.2363636363636,110
21,"2","experience",18.2868852459016,122
21,"10","average",20.5593220338983,118
21,"10","experience",21.0782608695652,115
21,"20","average",19.4090909090909,110
21,"20","experience",20.2434782608696,115
22,"2","average",18.7166666666667,120
22,"2","experience",19.1440677966102,118
22,"10","average",20.9302325581395,129
22,"10","experience",22.36,100
22,"20","average",19.6542056074766,107
22,"20","experience",19.7522123893805,113
23,"2","average",19.8214285714286,112
23,"2","experience",20.0943396226415,106
23,"10","average",20.9435483870968,124
23,"10","experience",22.448275862069,116
23,"20","average",19.51,100
23,"20","experience",21.3846153846154,117
24,"2","average",20.2242990654206,107
24,"2","experience",21.2363636363636,110
24,"10","average",22.8389830508475,118
24,"10","experience",24.8461538461538,104
24,"20","average",20.832,125
24,"20","experience",22.5333333333333,90
25,"2","average",22.1071428571429,112
25,"2","experience",22.196261682243,107
25,"10","average",21.9494949494949,99
25,"10","experience",25.7294117647059,85
25,"20","average",20.6521739130435,92
25,"20","experience",23.0869565217391,115
26,"2","average",22.268115942029,138
26,"2","experience",22.7912087912088,91
26,"10","average",23.8951612903226,124
26,"10","experience",25.9405940594059,101
26,"20","average",21.7603305785124,121
26,"20","experience",23.8453608247423,97
27,"2","average",23.8918918918919,111
27,"2","experience",23.6372549019608,102
27,"10","average",24.8165137614679,109
27,"10","experience",24.4636363636364,110
27,"20","average",22.8803418803419,117
27,"20","experience",24.9363636363636,110
28,"2","average",23.029702970297,101
28,"2","experience",23.6813186813187,91
28,"10","average",25.0083333333333,120
28,"10","experience",27.7350427350427,117
28,"20","average",24.0157480314961,127
28,"20","experience",25.7857142857143,98
29,"2","average",25.4607843137255,102
29,"2","experience",26.9375,96
29,"10","average",25.3189655172414,116
29,"10","experience",27.8585858585859,99
29,"20","average",24.2894736842105,114
29,"20","experience",26.1545454545455,110
30,"2","average",25.6875,112
30,"2","experience",26.89,100
30,"10","average",26.2549019607843,102
30,"10","experience",27.9320388349515,103
30,"20","average",23.8440366972477,109
30,"20","experience",28.3703703703704,81
31,"2","average",26.304,125
31,"2","experience",27.7699115044248,113
31,"10","average",26.5588235294118,102
31,"10","experience",29.2268041237113,97
31,"20","average",25.4416666666667,120
31,"20","experience",29.2692307692308,104
32,"2","average",26.3333333333333,120
32,"2","experience",29.872,125
32,"10","average",28.5545454545455,110
32,"10","experience",30.0495867768595,121
32,"20","average",26.4375,112
32,"20","experience",29.1603773584906,106
33,"2","average",28.5271317829457,129
33,"2","experience",29.5102040816327,98
33,"10","average",29.8090909090909,110
33,"10","experience",32.3084112149533,107
33,"20","average",27.3178294573643,129
33,"20","experience",29.8469387755102,98
34,"2","average",29.4347826086957,115
34,"2","experience",30.25,96
34,"10","average",29.2121212121212,99
34,"10","experience",32.2040816326531,98
34,"20","average",28.3982300884956,113
34,"20","experience",30.5333333333333,105
35,"2","average",28.844262295082,122
35,"2","experience",31.2980769230769,104
35,"10","average",29.8067226890756,119
35,"10","experience",32.48,100
35,"20","average",29.1754385964912,114
35,"20","experience",31.5360824742268,97
36,"2","average",31.032,125
36,"2","experience",33.378640776699,103
36,"10","average",30.5322580645161,124
36,"10","experience",35.3611111111111,108
36,"20","average",30.3174603174603,126
36,"20","experience",32,96
